ts,mmr_height,num_tokens,num_transfers,total_num_tokens,total_num_transfers,gas_mint,gas_verify,total_gas_mint,total_gas_verify
1607295600,9,817,37,817,37,91674637,541199,91674637,541199
1607900400,9,142,94,959,131,16900570,1374938,108575207,1916137
1608505200,10,374,110,1333,241,43500792,1749110,152075999,3665247
1609110000,11,1065,149,2398,390,127515919,2522249,279591918,6187496
1609714800,11,575,187,2973,577,69818378,3211912,349410296,9399408
1610319600,11,450,372,3423,949,54991309,6389472,404401605,15788880
1610924400,12,753,126,4176,1075,94538745,2212588,498940350,18001468
1611529200,12,1442,245,5618,1320,175739259,4520250,674679609,22521718
1612134000,12,473,299,6091,1619,60071398,5516550,734751007,28038268
1612738800,12,947,333,7038,1952,118367675,6143850,853118682,34182118
1613343600,13,3303,856,10341,2808,415221679,16354200,1268340361,50536318
1613948400,13,2014,1769,12355,4577,258513738,34893525,1526854099,85429843
1614553200,13,2087,1655,14442,6232,267729795,32644875,1794583894,118074718
1615158000,13,0,519,14442,6751,0,10237275,1794583894,128311993
1615762800,14,2830,1452,17272,8203,366351482,29217822,2160935376,157529815
1616367600,14,1621,594,18893,8797,203745432,12473406,2364680808,170003221
1616968800,14,1259,706,20152,9503,162389589,14825294,2527070397,184828515
1617573600,14,2342,828,22494,10331,303412843,17387172,2830483240,202215687
1618178400,14,1492,663,23986,10994,196524884,13922337,3027008124,216138024
1618783200,14,1138,639,25124,11633,149547151,13418361,3176555275,229556385
1619388000,14,1566,939,26690,12572,203932198,19718061,3380487473,249274446
1619992800,14,821,386,27511,12958,107268592,8105614,3487756065,257380060
1620597600,14,1139,573,28650,13531,154794508,12032427,3642550573,269412487
1621202400,14,713,538,29363,14069,92325457,11297462,3734876030,280709949
1621807200,14,1421,675,30784,14744,192460660,14174325,3927336690,294884274
1622412000,14,833,789,31617,15533,112859186,16568211,4040195876,311452485
1623016800,15,1439,1866,33056,17399,195872438,39363909,4236068314,350816394
1623621600,15,1945,1894,35001,19293,243598382,42186956,4479666696,393003350
1624226400,15,4988,3863,39989,23156,648717332,86044462,5128384028,479047812
1624831200,15,3516,4235,43505,27391,461807857,94330390,5590191885,573378202
1625436000,15,4552,2936,48057,30327,614072449,65396464,6204264334,638774666
1626040800,15,3491,7430,51548,37757,463769463,165495820,6668033797,804270486
1626645600,15,3241,5850,54789,43607,434151259,130302900,7102185056,934573386
1627250400,16,11460,13574,66249,57181,1576741568,303402976,8678926624,1237976362
1627855200,16,10126,11951,76375,69132,1320934806,281434099,9999861430,1519410461
1628460000,16,3971,8585,80346,77717,536854565,202168165,10536715995,1721578626
1629064800,16,4854,16179,85200,93896,650189690,380999271,11186905685,2102577897
1629669600,16,5935,24686,91135,118582,808972254,581330614,11995877939,2683908511
1630274400,16,4331,9447,95466,128029,597560227,222467403,12593438166,2906375914
1630879200,16,2573,4147,98039,132176,367967790,97657703,12961405956,3004033617
1631484000,16,4456,6798,102495,138974,593239608,160086102,13554645564,3164119719
1632088800,16,4251,5980,106746,144954,580774850,140823020,14135420414,3304942739
1632693600,16,6595,7630,113341,152584,911719071,179678870,15047139485,3484621609
1633298400,16,1579,3381,114920,155965,226466546,79619169,15273606031,3564240778
1633903200,16,1526,2662,116446,158627,205021230,62687438,15478627261,3626928216
1634508000,16,2610,2524,119056,161151,362263000,59437676,15840890261,3686365892
1635112800,16,1549,1349,120605,162500,215808177,31767601,16056698438,3718133493
1635721200,16,1102,1194,121707,163694,156221013,28117506,16212919451,3746250999
1636326000,16,2225,2821,123932,166515,315808275,66431729,16528727726,3812682728
1636930800,16,4267,4450,128199,170965,609194296,104793050,17137922022,3917475778
1637535600,16,1925,2122,130124,173087,282629602,49970978,17420551624,3967446756
1638140400,17,1448,2585,131572,175672,204247680,63808187,17624799304,4031254943
1638745200,17,3309,4183,134881,179855,424444135,103834609,18049243439,4135089552
1639350000,17,3569,4265,138450,184120,469934497,105870095,18519177936,4240959647
1639954800,17,3623,5175,142073,189295,479840911,128459025,18999018847,4369418672
1640559600,17,449,5895,142522,195190,60532716,146331585,19059551563,4515750257
1641164400,17,597,1639,143119,196829,81996583,40684897,19141548146,4556435154
1641769200,17,1939,2333,145058,199162,261367940,57912059,19402916086,4614347213
1642374000,17,391,1281,145449,200443,54861979,31798263,19457778065,4646145476
1642978800,17,1697,2807,147146,203250,235560243,69678161,19693338308,4715823637
1643583600,17,3171,4290,150317,207540,419192538,106490670,20112530846,4822314307
1644188400,17,1924,2449,152241,209989,259890168,60791527,20372421014,4883105834
1644793200,17,1180,2708,153421,212697,160963115,67220684,20533384129,4950326518
1645398000,17,1238,1997,154659,214694,171131777,49571531,20704515906,4999898049
1646002800,17,1582,1923,156241,216617,218138482,47734629,20922654388,5047632678
1646607600,17,942,2081,157183,218698,127777847,51656663,21050432235,5099289341
1647212400,17,1190,1533,158373,220231,163182892,38053659,21213615127,5137343000
1647817200,17,3103,3337,161476,223568,434724313,82834351,21648339440,5220177351
1648418400,17,1163,1855,162639,225423,165655386,46046665,21813994826,5266224016
1649023200,17,1959,2502,164598,227925,272495810,62107146,22086490636,5328331162
1649628000,17,2414,2627,167012,230552,320054322,65210021,22406544958,5393541183
1650232800,17,1182,2339,168194,232891,160871874,58060997,22567416832,5451602180
1650837600,17,973,2472,169167,235363,130051582,61362456,22697468414,5512964636
1651442400,17,977,5349,170144,240712,134436426,132778227,22831904840,5645742863
1652047200,17,446,2340,170590,243052,60827752,58085820,22892732592,5703828683
1652652000,17,1212,2255,171802,245307,170624069,55975865,23063356661,5759804548
1653256800,17,1452,2679,173254,247986,195866660,66500817,23259223321,5826305365
1653861600,17,748,2215,174002,250201,103310746,54982945,23362534067,5881288310
1654466400,17,870,1737,174872,251938,119021334,43117551,23481555401,5924405861
1655071200,17,959,1937,175831,253875,135045483,48082151,23616600884,5972488012
1655676000,17,188,567,176019,254442,27322507,14074641,23643923391,5986562653
