ts,mmr_height,num_tokens,num_transfers,total_num_tokens,total_num_transfers,gas_mint,gas_verify,total_gas_mint,total_gas_verify
1557698400,15,43725,0,43725,0,5618984912,0,5618984912,0
1558303200,17,106275,0,150000,0,14451405395,0,20070390307,0
1559512800,17,0,11,150000,11,0,273053,20070390307,273053
1560117600,17,0,498,150000,509,0,12361854,20070390307,12634907
1560722400,17,0,138,150000,647,0,3425574,20070390307,16060481
1561327200,17,0,78,150000,725,0,1936194,20070390307,17996675
1561932000,17,0,241,150000,966,0,5982343,20070390307,23979018
1562536800,17,0,110,150000,1076,0,2730530,20070390307,26709548
1563141600,17,0,96,150000,1172,0,2383008,20070390307,29092556
1563746400,17,0,27,150000,1199,0,670221,20070390307,29762777
1564351200,17,0,51,150000,1250,0,1265973,20070390307,31028750
1564956000,17,0,60,150000,1310,0,1489380,20070390307,32518130
1565560800,17,0,35,150000,1345,0,868805,20070390307,33386935
1566165600,17,0,21,150000,1366,0,521283,20070390307,33908218
1566770400,17,0,6,150000,1372,0,148938,20070390307,34057156
1567375200,17,0,19,150000,1391,0,471637,20070390307,34528793
1567980000,17,0,15,150000,1406,0,372345,20070390307,34901138
1568584800,17,0,3,150000,1409,0,74469,20070390307,34975607
1569189600,17,0,9,150000,1418,0,223407,20070390307,35199014
1569794400,17,0,13,150000,1431,0,322699,20070390307,35521713
1570399200,17,0,10,150000,1441,0,248230,20070390307,35769943
1571004000,17,0,12,150000,1453,0,297876,20070390307,36067819
1571608800,17,0,7,150000,1460,0,173761,20070390307,36241580
1572217200,17,0,19,150000,1479,0,471637,20070390307,36713217
1572822000,17,0,26,150000,1505,0,645398,20070390307,37358615
1573426800,17,0,14,150000,1519,0,347522,20070390307,37706137
1574031600,17,0,15,150000,1534,0,372345,20070390307,38078482
1574636400,17,0,20,150000,1554,0,496460,20070390307,38574942
1575241200,17,0,14,150000,1568,0,347522,20070390307,38922464
1575846000,17,0,30,150000,1598,0,744690,20070390307,39667154
1576450800,17,0,17,150000,1615,0,421991,20070390307,40089145
1577055600,17,0,7,150000,1622,0,173761,20070390307,40262906
1577660400,17,0,21,150000,1643,0,521283,20070390307,40784189
1578265200,17,0,13,150000,1656,0,322699,20070390307,41106888
1578870000,17,0,43,150000,1699,0,1067389,20070390307,42174277
1579474800,17,0,15,150000,1714,0,372345,20070390307,42546622
1580079600,17,0,57,150000,1771,0,1414911,20070390307,43961533
1580684400,17,0,16,150000,1787,0,397168,20070390307,44358701
1581289200,17,0,15,150000,1802,0,372345,20070390307,44731046
1581894000,17,0,15,150000,1817,0,372345,20070390307,45103391
1582498800,17,0,5,150000,1822,0,124115,20070390307,45227506
1583103600,17,0,75,150000,1897,0,1861725,20070390307,47089231
1583708400,17,0,20,150000,1917,0,496460,20070390307,47585691
1584918000,17,0,38,150000,1955,0,943274,20070390307,48528965
1585519200,17,0,11,150000,1966,0,273053,20070390307,48802018
1586124000,17,0,9,150000,1975,0,223407,20070390307,49025425
1586728800,17,0,4,150000,1979,0,99292,20070390307,49124717
