ts,mmr_height,num_tokens,num_transfers,total_num_tokens,total_num_transfers,gas_mint,gas_verify,total_gas_mint,total_gas_verify
1610924400,4,20,14,20,14,1984015,96460,1984015,96460
1611529200,5,35,36,55,50,3617547,326505,5601562,422965
1612134000,7,108,155,163,205,11614118,1742142,17215680,2165107
1612738800,8,156,191,319,396,17349098,2412723,34564778,4577830
1613343600,9,321,419,640,815,36622541,5802569,71187319,10380399
1613948400,10,1199,1588,1839,2403,141658630,24616336,212845949,34996735
1614553200,12,2684,3935,4523,6338,327110442,68123656,539956391,103120391
1615158000,12,3138,4752,7661,11090,393159139,87674400,933115530,190794791
1615762800,13,3977,5706,11638,16796,499502346,111566550,1432617876,302361341
1616367600,13,4029,5686,15667,22482,522743048,112156350,1955360924,414517691
1616968800,14,3554,5184,19221,27666,451007029,107530034,2406367953,522047725
1617573600,14,3803,5490,23024,33156,492667843,115284510,2899035796,637332235
1618178400,14,2929,4431,25953,37587,383859212,93046569,3282895008,730378804
1618783200,14,3704,4929,29657,42516,491658047,103504071,3774553055,833882875
1619388000,15,3482,5343,33139,47859,471506160,112939707,4246059215,946822582
1619992800,15,2520,4007,35659,51866,317122895,89251918,4563182110,1036074500
1620597600,15,1585,2434,37244,54300,205667938,54214916,4768850048,1090289416
1621202400,15,2481,3992,39725,58292,323802256,88917808,5092652304,1179207224
1621807200,15,3032,4917,42757,63209,399183508,109521258,5491835812,1288728482
1622412000,15,3272,5396,46029,68605,436247206,120190504,5928083018,1408918986
1623016800,15,3072,5368,49101,73973,423275021,119566832,6351358039,1528485818
1623621600,15,2509,4529,51610,78502,324834284,100878946,6676192323,1629364764
1624226400,15,2373,4251,53983,82753,317279173,94686774,6993471496,1724051538
1624831200,15,2439,4600,56422,87353,332239618,102460400,7325711114,1826511938
1625436000,15,2534,4700,58956,92053,344322775,104687800,7670033889,1931199738
1626040800,15,2345,4289,61301,96342,324463726,95533186,7994497615,2026732924
1626645600,15,3097,5488,64398,101830,432167805,122239712,8426665420,2148972636
1627250400,16,2888,5170,67286,107000,382989284,119167730,8809654704,2268140366
1627855200,16,2783,5704,70069,112704,359474746,134323496,9169129450,2402463862
1628460000,16,2815,5265,72884,117969,370515520,123985485,9539644970,2526449347
1629064800,16,3206,6179,76090,124148,422620062,145509271,9962265032,2671958618
1629669600,16,2638,5987,78728,130135,354104758,140987863,10316369790,2812946481
1630274400,16,2702,5406,81430,135541,371309041,127305894,10687678831,2940252375
1630879200,16,3302,5900,84732,141441,436400034,138939100,11124078865,3079191475
1631484000,16,3554,6250,88286,147691,480475727,147181250,11604554592,3226372725
1632088800,16,3193,6009,91479,153700,436838510,141505941,12041393102,3367878666
1632693600,16,2808,5567,94287,159267,390088411,131097283,12431481513,3498975949
1633298400,16,2308,4717,96595,163984,321559095,111080633,12753040608,3610056582
1633903200,16,2705,5470,99300,169454,375073355,128813030,13128113963,3738869612
1634508000,16,3341,6008,102641,175462,445379546,141482392,13573493509,3880352004
1635112800,16,1392,2754,104033,178216,186574937,64853946,13760068446,3945205950
1635721200,16,1920,3460,105953,181676,265236193,81479540,14025304639,4026685490
1636326000,16,1897,3290,107850,184966,257264657,77476210,14282569296,4104161700
1636930800,16,2315,3974,110165,188940,319667082,93583726,14602236378,4197745426
1637535600,16,2272,4058,112437,192998,317175894,95561842,14919412272,4293307268
1638140400,16,2163,3989,114600,196987,311131232,93936961,15230543504,4387244229
1638745200,16,3430,6216,118030,203203,466334382,146380584,15696877886,4533624813
1639350000,16,3145,5455,121175,208658,440217712,128459795,16137095598,4662084608
1639954800,16,3088,5619,124263,214277,437248619,132321831,16574344217,4794406439
1640559600,16,2396,4944,126659,219221,342755378,116426256,16917099595,4910832695
1641164400,16,2057,3779,128716,223000,296218136,88991671,17213317731,4999824366
1641769200,16,1355,2789,130071,225789,199650427,65678161,17412968158,5065502527
1642374000,17,1706,3385,131777,229174,236935114,81544103,17649903272,5147046630
1642978800,17,1153,2971,132930,232145,146367226,73749133,17796270498,5220795763
1643583600,17,12,2003,132942,234148,1530254,49720469,17797800752,5270516232
1644188400,17,4,1798,132946,235946,524369,44631754,17798325121,5315147986
1644793200,17,3,1350,132949,237296,388708,33511050,17798713829,5348659036
1645398000,17,4,1375,132953,238671,530864,34131625,17799244693,5382790661
1646002800,17,0,1137,132953,239808,0,28223751,17799244693,5411014412
1646607600,17,8,1672,132961,241480,1078876,41504056,17800323569,5452518468
1647212400,17,1,1034,132962,242514,125129,25666982,17800448698,5478185450
1647817200,17,1,779,132963,243293,127948,19337117,17800576646,5497522567
1648418400,17,7,647,132970,243940,921443,16060481,17801498089,5513583048
1649023200,17,4,740,132974,244680,537383,18369020,17802035472,5531952068
1649628000,17,8,890,132982,245570,1080717,22092470,17803116189,5554044538
1650232800,17,7,679,132989,246249,966715,16854817,17804082904,5570899355
1650837600,17,7,685,132996,246934,929710,17003755,17805012614,5587903110
1651442400,17,8,546,133004,247480,1021071,13553358,17806033685,5601456468
1652047200,17,3,440,133007,247920,393982,10922120,17806427667,5612378588
1652652000,17,3,856,133010,248776,391755,21248488,17806819422,5633627076
1653256800,17,1,630,133011,249406,127972,15638490,17806947394,5649265566
1653861600,17,0,419,133011,249825,0,10400837,17806947394,5659666403
1654466400,17,0,356,133011,250181,0,8836988,17806947394,5668503391
1655071200,17,0,516,133011,250697,0,12808668,17806947394,5681312059
1655676000,17,0,125,133011,250822,0,3102875,17806947394,5684414934
